deutsch,english
erhöhten,increased
Bauch,Belly
Schrift,Writing
leiten,lead
jährlichen,annual
eingeschränkt,restricted
allemal,in any case
Wiederaufbau,reconstruction
Gisela,Gisela
zunehmende,increasing
Hut,hat
indischen,Indian
Entstehung,Origin
studieren,study
nachgewiesen,proven
Angabe,Information
orientieren,orient
Ära,era
Zentralbank,Central Bank
Rheinland-Pfalz,Rhineland-Palatinate
Blätter,leaves
negativen,negative
eingehen,to
geschlossenen,closed
bedienen,serve
bevorstehenden,upcoming
Runden,Round
Hoechst,Maximum
benannt,named
weichen,soft
Bakterien,bacteria
Daniel,Daniel
glaubte,believed
Vorsitz,Chair
Konstruktion,construction
bat,bat
Klaus Kinkel,Klaus Kinkel
Balkan,Balkans
beschädigt,damaged
Weltmeisterschaft,World Championship
dicken,thick
Befragten,respondents
a.,a.
Brust,Breast
schlossen,closed
Gewinner,winner
römischen,Roman
Christoph,Christoph
meines,my
erlebte,experienced
anfangen,begin
Chirac,Chirac
niemanden,nobody
wehren,defend yourself
bisweilen,sometimes
stürzte,crashed
Leichen,Corpses
Seinen,His
Empfehlung,Recommendation
erlassen,enacted
Di,Di
gleicher,same
regionale,regional
BGH,Federal Court of Justice
gefährden,endanger
trinken,drink
Vorsicht,Caution
dramatischen,dramatic
Englisch,English
lobte,praised
Warnung,warning
günstigen,affordable
Inc.,Inc.
nachweisen,prove
unterbrochen,interrupted
Verbreitung,spread
östlichen,eastern
Anwälte,lawyers
Vorstandsvorsitzende,CEO
eingebracht,introduced
Norbert,Norbert
geht's,is going
Südwesten,southwest
Finnland,Finland
profitiert,benefits
Südkorea,South Korea
markieren,mark
Kürzung,reduction
Gleichwohl,Nevertheless
üben,practice
Umfragen,Surveys
Ausländern,foreigners
Berge,Mountains
fehlende,missing
Schrecken,horror
Jagd,hunting
angesagt,announced
rechtlich,legally
sorgten,caused
verweisen,refer
erfordert,requires
hessische,Hessian
VfB,VfB
erweitern,expand
Abschiebung,deportation
begegnet,encountered
Demokraten,Democrats
übers,about
bevorzugt,preferred
dauerte,lasted
beruht,is
Blumen,Flowers
gezählt,counted
Ulm,Ulm
Träume,Dreams
einbezogen,included
fünfzehn,fifteen
gekürzt,shortened
Photos,Photos
fester,firmer
kehrte,returned
wechselt,changes
Resultat,result
Beschwerden,complaints
zweifellos,undoubtedly
Denkmal,monument
zurückgezogen,withdrawn
Design,design
Erholung,recreation
gelebt,lived
Frankfurt am Main,Frankfurt am Main
gedroht,threatened
Lateinamerika,Latin America
Mo,Mon
Prinz,prince
Marktplatz,Marketplace
Dirk,Dirk
Café,Cafe
Acht,Eight
unbekannten,unknown
Mandat,mandate
Haftbefehl,Arrest warrant
spätere,later
diente,served
Parkplatz,parking
Künstlern,artists
Materials,Materials
G.,G.
zwangsläufig,inevitably
Vögel,birds
zählte,counted
Busse,buses
Video,video
digitale,digital
Albert,Albert
Rezession,recession
Pferde,horses
Schriften,Writings
bekämpfen,fight
Wirtschaftspolitik,Economic policy
Bestellung,Order
Hunde,dogs
Quadratmetern,square meters
Orte,places
schlimm,terrible
Gedanke,Thought
Beste,Best
nichts zu tun,unrelated to
Legislaturperiode,legislative period
Interviews,Interviews
fünfte,fifth
untereinander,among each other
trugen,wore
Selbstmord,suicide
früherer,former
Schuhe,Shoes
ausgeglichen,balanced
Unsicherheit,uncertainty
privat,private
Medium,medium
Unbekannte,unknown
etc.,etc.
abgelegt,filed
schwedischen,Swedish
sichere,safe
bosnische,Bosnian
Initiativen,Initiatives
Friedhof,Cemetery
Wände,walls
stärkere,stronger
e.V.,e.V.
Bayerische,Bavarian
Konten,accounts
wem,whom
Empfänger,Recipient
Renten,Pensions
typisch,typical
Arbeitsgemeinschaft,Working group
heuer,this year
Strecken,Stretch
US-Präsident,US President
Tal,valley
Linke,left
beeinflußt,influenced
Votum,vote
natürliche,natural
vorhandene,existing
angemessen,appropriate
komplette,complete
Weimar,Weimar
Demonstrationen,Demonstrations
Milch,Milk
Anmeldung,Registration
vergleichen,compare
Monats,Month
sportlichen,sporting
chemische,chemical
Moslems,Muslims
reich,rich
Rhythmus,rhythm
Werten,Values
Japans,Japan's
Glaubwürdigkeit,credibility
mangelnde,lack
übersetzt,translated
landen,land
F.,F.
Ehepaar,couple
wiederholen,repeat
Netanjahu,Netanyahu
Genuß,Enjoyment
Mängel,Defects
garantieren,guarantee
Coach,Coach
Reihenfolge,Series
Siedlung,settlement
kletterte,climbed
illegalen,illegal
schickt,sends
Instrumente,instruments
Globalisierung,globalization
sorgfältig,carefully
Springen,Jump
Kieler,Kiel
Welle,Wave
fehlten,missing
traten,occurred
Schock,shock
negative,negative
nötige,necessary
Möglicherweise,Possibly
RWE,RWE
Ford,ford
Glanz,shine
Schlacht,battle
wirbt,advertises
kostete,cost
Anordnung,arrangement
vereinbarten,agreed
erwies,proved
signalisiert,signals
Bochum,Bochum
Charme,charm
begrüßte,welcomed
Freilassung,release
Ankunft,Arrival
Ingrid,Ingrid
Gibt,Gives
ökologisch,ecologically
Bundestagswahl,Federal election
Verhandlung,Negotiation
Klavier,Piano
Faktor,factor
endgültigen,final
Bundesfinanzminister,Federal Finance Minister
schickte,sent
Söhne,sons
Liberalisierung,liberalization
Verleger,publisher
Vereinbarungen,Agreements
Terroristen,terrorists
Toren,Goals
Pakistan,Pakistan
Aufregung,excitement
unterhalb,below
Übersetzung,translation
Texten,Texts
strategische,strategic
Pflegeversicherung,Long-term care insurance
Investor,investor
Konditionen,Terms and conditions
vorgesehene,intended
kannte,knew
unbekannt,unknown
Krebs,Cancer
Infotyp,Infotype
Jahresbeginn,Beginning of the year
offener,open
Rühe,Rest
Triumph,triumph
rät,advises
Zahlungen,Payments
Engländer,English
chemischen,chemical
mühsam,tedious
ausbauen,expand
auszuschließen,to exclude
konservative,conservative
E.,E.
stattgefunden,took place
notfalls,if necessary
bedingt,conditional
umgehend,immediately
Wüste,Desert
Zuschuß,Grant
wenigsten,at least
Kommune,municipality
Gewerbe,Business
Experiment,experiment
Darüber,About it
angepaßt,adjusted
transportiert,transported
indessen,meanwhile
D-Mark,D-Mark
Dortmunder,Dortmund
veränderten,changed
Daraus,From this
gänzlich,completely
Österreicher,Austrian
Dasa,Dasa
bester,best
Zahlreiche,Numerous
Interpretation,interpretation
Bundestages,Bundestag
Daraufhin,Thereupon
Jahrestag,anniversary
Christa,Christa
Bergen,Bergen
geladen,loaded
Grundlagen,Basics
Dingen,things
belasten,burden
Steine,stones
Feldern,fields
Landstraße,country road
Ermittler,investigators
HSV,HSV
künstlerischen,artistic
Ausbruch,outbreak
Beschlüsse,Decisions
außerordentlich,extraordinary
anzubieten,to offer
liebe,love
ausgestellt,exhibited
streichen,cancel
Stadthalle,City Hall
Pferd,Horse
Vietnam,Vietnam
längeren,longer
ausgeben,spend
erzielten,achieved
Währungen,Currencies
Darlehen,loan
bekanntgegeben,announced
Kälte,cold
Tennis,tennis
EM,EM
siebziger Jahre,seventies
Lektüre,reading
Zelle,cell
Chinesen,Chinese
prüft,checks
Projekts,Project
Ermordung,assassination
Lesung,reading
Einzelfall,Individual case
Erkenntnissen,findings
fern,remote
heiß,hot
vornehmlich,primarily
Logik,logic
Gattung,genus
Schwung,momentum
Staatschef,Head of State
Stasi,Stasi
Hildegard,Hildegard
Bestehen,Consist
derzeitige,current
indirekt,indirect
fällig,due
Aids,AIDS
Anleihen,Bonds
Warschau,Warsaw
womit,with which
Fernseher,TV
Weltbank,World Bank
Hauptbahnhof,Main train station
räumen,clear
gedreht,turned
stellvertretender,deputy
vor Steuern,before tax
Gedicht,poem
Male,Male
siebziger Jahren,seventies
beschränken,restrict
gewähren,grant
angeordnet,arranged
Rekord,record
Vergnügen,Enjoyment
Erklärungen,Explanations
erfunden,invented
beseitigt,eliminated
zulässig,permissible
Koalitionspartner,Coalition partner
Gutachter,Expert
rechtlichen,legal
erwarte,expect
nördlichen,northern
Auschwitz,Auschwitz
Europäische,European
beantwortet,answered
genießt,enjoy
achtziger Jahren,eighties
erfolgte,took
Füße,feet
wechselte,changed
Gerichtshof,Court
Wichtig,Important
anstatt,instead of
älteste,oldest
Baustelle,Construction site
arbeitslos,unemployed
Nord,North
Geduld,patience
beweist,proves
verbundenen,associated
eingetragen,registered
Dörfer,villages
Steuerzahler,taxpayer
Nachbarschaft,neighborhood
unterschiedlicher,different
Muslime,Muslims
Tips,Tips
Elf,Eleven
Krankenhäuser,Hospitals
Aufnahmen,Recordings
Vermarktung,marketing
Kontinent,continent
beseitigen,eliminate
billig,cheap
präsent,present
jetzige,current
musikalischen,musical
Jahresüberschuß,Annual surplus
ihrerseits,in turn
Ach,Oh
verwirklichen,achieve
Mainzer,Mainz
Schichten,layers
Ärzten,doctors
erwartete,expected
Sex,sex
Lyrik,Poetry
gespeichert,saved
Torwart,goalkeeper
vornherein,from the outset
Platte,plate
Ressourcen,resources
Restaurants,Restaurants
saßen,sat
enorm,enormous
orientiert,oriented
Verfahrens,procedure
Knapp,Meager
Ersten,First
prompt,prompt
Vereinen,Clubs
Markus,Markus
Differenzen,Differences
Präsidium,Executive Board
taucht,dives
Bad Homburg,Bad Homburg
blockiert,blocked
hohes,high
Leiterin,Head
Justizminister,Minister of Justice
Umstände,Circumstances
festhalten,hold onto
fortan,from now on
strikt,strict
Einwohnern,inhabitants
musikalische,musical
Entsprechend,Accordingly
Feier,Celebration
Väter,Fathers
Israelis,Israelis
Filialen,branches
http,http
verzeichnen,record
asiatischen,Asian
erweisen,prove
französischer,French
Ursprünglich,Originally
Deswegen,Because of this
mochte,want
knappen,scarce
kräftigen,strong
Bein,leg
Klar,Clear
ökonomischen,economic
individuellen,individual
verkaufte,sold
derer,whose
Auszeichnung,award
Teilnehmern,participants
Songs,Songs
beachten,observe
gleichsam,as if
Parlamentarier,parliamentarians
schweigen,be silent
Schwächen,Weaken
bürgerlichen,bourgeois
lachen,laugh
Bundesland,Federal State
Stärkung,strengthening
Anwender,user
Boeing,Boeing
usw,etc
schießen,shoot
Gebäudes,building
Töchter,daughters
Wäre,Were
Chefredakteur,Editor-in-Chief
Absturz,crash
mehrheitlich,majority
Boot,boat
Alpen,Alps
landete,landed
Fahrbahn,roadway
verschärft,tightened
locken,lure
Dessen,Whose
SPD-Fraktion,SPD parliamentary group
gewordenen,become
kümmert,cares
ggf,if
öffentlichen Dienst,public service
Fünftel,fifth
religiöse,religious
Mehrzahl,Plural
Feind,Enemy
beklagen,complain
Unruhe,Unrest
fühle,feel
Dichtung,seal
Fahrzeugen,vehicles
verrät,reveals
z. B.,e.g.
Nutzer,users
verbringen,spend
beides,both
Wahrscheinlich,Probably
Priester,priest
nutzte,used
armen,poor
überlebt,survived
Talent,talent
österreichische,Austrian
herkömmlichen,conventional
Festnahme,arrest
ältesten,oldest
einrichten,furnish
Angelika,Angelika
berechtigt,justified
Student,Student
kauft,buys
Kuba,Cuba
angesetzt,scheduled
rechtliche,legal
Stichwort,keyword
Dynamik,dynamics
Budapest,Budapest
Lücke,gap
versorgen,take care of
Übersicht,Overview
Chefs,bosses
gewaltigen,enormous
Mond,moon
Tragödie,tragedy
Kräften,forces
Landtagswahl,State election
Neu,New
Legende,legend
niederländische,Dutch
Zivilisten,civilians
Mi,Wed
Spätestens,At latest
Bosnien-Herzegowina,Bosnia and Herzegovina
Volkshochschule,Adult Education Center
vergleichbar,comparable
Ruanda,Rwanda
Fahrrad,Bicycle
bescheiden,modest
selbständig,self-employed
Ankara,Ankara
weibliche,female
Nachteil,Disadvantage
Wenig,Few
Staatsregierung,State government
aktuell,current
identifiziert,identified
Zulassung,Permit
Paß,Passport
Revision,revision
mittlere,medium
Pro,Per
Linien,lines
gutem,good
infolge,as a result
Kämpfer,fighter
Grundschule,Primary school
Verzweiflung,despair
Autonomie,autonomy
Bewährung,parole
unternommen,undertaken
Erträge,Revenues
umfangreichen,extensive
jüngster,youngest
bestimmter,certain
wichtiges,important
Hoffmann,Hoffmann
Eintrag,entry
Patient,patient
fördert,promotes
Eigentum,Property
Grundstücke,Plots of land
besuchte,visited
eingehalten,adhered
Stationen,stations
Jubiläum,anniversary
Bad,bath
Freien,Free
Erwartung,Expectation
künstlerische,artistic
gestärkt,strengthened
weitergehen,continue
zusammengefaßt,In summary
rücken,back
Vorbereitungen,Preparations
Biographie,biography
annähernd,approximately
Physiker,physicist
Reporter,reporter
Strich,line
privater,private
sechsten,sixth
stärkste,strongest
strebt,strives
Boris Becker,Boris Becker
suchten,searched
lernt,learns
Bestimmung,Determination
abgesetzt,discontinued
wisse,know
van,van
Rechts,Right
ÖTV,ÖTV
Hunger,hunger
manuell,manually
notiert,noted
stört,disrupts
Group,Group
angefangen,begun
Marktführer,Market leader
Heim,Home
Rätsel,Puzzle
beurteilen,judge
Jäger,hunter
gedrängt,urged
gedruckt,printed
schriftlich,in written form
Installation,installation
unternehmen,company
schuld,fault
lacht,laughs
Einhaltung,Compliance
Stille,silence
Schwarzen,Black
Lothar,Lothar
gesteckt,inserted
Zuhörer,listeners
Museums,Museums
STUTTGART,STUTTGART
Urlauber,vacationers
Orientierung,orientation
nächster,next
bestreiten,deny
oftmals,often
Bagdad,Baghdad
ewig,forever
Untersuchungshaft,Pre-trial detention
Roland,Roland
Prinzipien,Principles
steuert,controls
heutzutage,nowadays
unwahrscheinlich,unlikely
Piloten,pilots
maßgeblich,significantly
Hubschrauber,helicopter
herstellen,produce
globale,global
einigermaßen,reasonably
Bulgarien,Bulgaria
geredet,talked
Keiner,None
absoluten,absolute
sinkt,sinks
Eingriff,procedure
überwunden,overcome
Werkstatt,Workshop
Chicago,Chicago
Rentenversicherung,pension insurance
springen,jump
Zusage,Commitment
angesiedelt,located
stören,disturb
Verurteilung,Conviction
interessante,interesting
verlief,went
Erscheinung,appearance
Birgit,Birgit
Main,Main
argumentiert,argued
New,New
ergänzen,add to
abgestimmt,agreed
Überwachung,surveillance
Kapazität,capacity
Kapazitäten,Capacities
Mehrwertsteuer,VAT
Größenordnung,order of magnitude
Ertrag,Yield
bewahrt,preserved
erkannte,recognized
baden-württembergischen,Baden-Württemberg
anstehenden,upcoming
sportliche,sporting
gefährlichen,dangerous
Hilfen,Help
Maßstab,scale
Geste,gesture
ausgewählten,selected
auswählen,choose
Verwaltungsgericht,Administrative Court
Freilich,Of course
realisieren,realize
bestritten,disputed
gebürtige,native
Knoten,node
blicken,look
Zone, Zone
wen,who
anderthalb,one and a half
Aufenthalt,Stay
Rad,wheel
Wille,will
richtete,directed
versagt,failed
Zuletzt,Last
Exemplare,copies
Schulter,shoulder
Expansion,expansion
angetreten,started
gewünscht,desired
Edmund Stoiber,Edmund Stoiber
begriffen,understood
Trost,comfort
Verfasser,writer
Zum anderen,On the other hand
Abitur,high school diploma
Wenige,Few
lieferte,delivered
liefen,ran
Kohle,Money
unterschrieben,signed
Zuschlag,Surcharge
Bürgerinitiative,Citizens' initiative
Geschäften,shops
Mißtrauen,Distrust
Schmerzen,Pains
entlastet,relieved
Reinhard,Reinhard
Bayern München,Bayern Munich
Europäische Union,European Union
Tatsachen,Facts
tatsächlichen,actual
Freiburger,Freiburg
wirkliche,real
strengen,strict
Ironie,irony
Asyl,asylum
ständige,constant
unlängst,recently
Kapitalerhöhung,Capital increase
träumen,dream
praktische,practical
moralische,moral
deutsches,German
zunehmenden,increasing
bedeutendsten,most important
Kommunalwahl,Local elections
Empörung,indignation
jüngere,younger
fehlenden,missing
herzustellen,to produce
verteidigte,defended
Russland,Russia
Mittelalter,Medieval Times
Buchstaben,Letters
Zorn,anger
Nordamerika,North America
baute,built
Begriffe,terms
angekommen,arrived
Knochen,Bone
fremde,foreign
Mieten,Rent
Konsolidierung,Consolidation
leistet,provides
Produzenten,Producers
zeichnen,draw
abgeschafft,abolished
bewirkt,causes
Berücksichtigung,Consideration
Wiesbadener,Wiesbaden
Früchte,fruit
fremd,foreign
Umwandlung,conversion
wagen,dare
nachhaltig,sustainable
K,K
Häftlinge,prisoners
zerstören,destroy
Listen,Listen
afrikanischen,African
Abbruch,Cancellation
Richtlinien,Guidelines
en,en
niedersächsischen,Lower Saxony
Demnach,According to this
Sparte,division
Thailand,Thailand
vorläufigen,preliminary
Siehe,See
notierte,noted
schwache,weakness
Aufforderung,request
ausschließen,exclude
Broschüre,brochure
Stuhl,Chair
lauten,ring
Wahrscheinlichkeit,probability
Wärme,warmth
verwirklicht,realized
Devise,motto
Konservativen,Conservatives
Kameras,Cameras
ausführlich,detailed
wirklichen,real
Vorfall,incident
Mafia,mafia
Ängste,fears
Polizist,policeman
starker,strong
Decke,Ceiling
auslösen,trigger
Mannheimer,Mannheim
freigegeben,released
Passanten,passers-by
Bald,Soon
aufkommen,arise
Ändern,Change
Sollten,Should
Bruno,Bruno
beschließen,decide
unterrichtet,taught
Budget,budget
Katholiken,Catholics
gefährliche,dangerous
sowjetische,Soviet
begleiten,accompany
attraktiv,attractive
Krone,crown
Sterne,Stars
Jahrzehnt,decade
Wiese,Meadow
jegliche,any
Block,block
Grab,grave
entnehmen,remove
Viertelfinale,Quarter-final
kritisieren,criticize
dicke,thickness
Freigabe,Release
Autorität,authority
Streiks,strikes
soeben,just
dieselbe,the same
Dilemma,dilemma
Wohlstand,prosperity
beruflichen,professional
Selbstbewußtsein,Self-consciousness
Aussteller,Exhibitor
Standorte,Locations
fängt,begins
Fisch,Fish
Hitze,heat
Epoche,epoch
Rückstand,residue
entdeckten,discovered
lägen,lie
angeklagt,accused
benötigten,needed
rechtfertigen,justify
Gestalten,Design
Plötzlich,Suddenly
verknüpft,linked
Bundesamt,Federal Office
Erlös,proceeds
Rudolf Scharping,Rudolf Scharping
Finanzministerium,Ministry of Finance
Ost und West,East and West
real,real
Trio,trio
Seoul,Seoul
verläuft,goes
klagte,complained
Schauspielerin,actress
Anhörung,hearing
Rasen,Race
Prozentpunkte,percentage points
Ferne,distance
Vorrang,priority
verfügbar,available
Mandanten,Clients
Cursor,cursor
Jelzins,Yeltsin
verurteilte,convicted
Projekten,projects
begrüßen,greet
insofern,insofar as
bedeutende,significant
gewählten,selected
com,com
Annäherung,Approach
Mindestens,At least
La,La
Erfindung,invention
Bauten,buildings
Verbesserungen,Improvements
Drohung,threat
gegründeten,founded
verabschieden,say goodbye
beklagte,defendant
geistigen,spiritual
längerem,longer
protestiert,protests
Zigaretten,cigarettes
Mitgliedschaft,membership
C.,C.
D.,D.
bedenken,consider
spiegelt,reflects
Verwandten,Relatives
fliegt,flies
merkt,notices
Schulz,Schulz
Gerichts,court
gemeinsames,joint
vernichtet,destroyed
Unruhen,unrest
Friedensprozeß,Peace process
Leinwand,canvas
tödlich,deadly
ausgebildet,trained
dunkle,dark
bestreitet,denies
nebenbei,alongside
Verschiebung,shift
Ausweg,Way out
irakischen,Iraqi
Rot,Red
einstige,former
Unterschriften,Signatures
Panik,panic
untersagt,prohibited
literarische,literary
Inhaber,owner
Rache,Revenge
Differenz,difference
Duisburg,Duisburg
Priorität,priority
Susanne,Susanne
Willi,Willi
Legen,Place
versammelt,gathered
Ebenen,Levels
Köpfen,heads
Original,Original
online,on-line
Ingenieure,engineers
schuf,created
Kirch,Church
Gaststätte,restaurant
inmitten,in the midst of
Beurteilung,assessment
sicherte,secured
fehle,missing
Kliniken,Clinics
Sarajevo,Sarajevo
Schreibtisch,Desk
gesund,healthy
stürzen,fall
Jens,Jens
typischen,typical
lokale,local
Neuwahlen,New elections
Möller,Möller
Turm,Tower
tanzen,dance
Party,party
warfen,threw
Appell,appeal
erreichbar,reachable
Albanien,Albania
VfB Stuttgart,VfB Stuttgart
Erwin,Erwin
Meyer,Meyer
Spielzeit,Playing time
beliebt,popular
Konzerte,Concerts
Süd,South
angekündigten,announced
X,X
besonderes,special
vorliegt,is
ausgerichtet,aligned
Technologien,Technologies
zusammenarbeiten,collaborate
bewerten,evaluate
Grosny,Grozny
Soldat,soldier
Hochzeit,Wedding
verstärkte,reinforced
umsonst,for free
belgischen,Belgian
Akteure,actors
Intendant,Artistic Director
Akzeptanz,acceptance
überlegt,considered
spürt,feels
Silber,Silver
Metropole,metropolis
nachträglich,retrospectively
Terror,terror
Bundesverband,Federal Association
setze,set
Standards,Standards
nächstes,next
Krankenversicherung,health insurance
gegebenenfalls,if applicable
Entsorgung,Disposal
antwortete,answered
frühzeitig,early
Versöhnung,reconciliation
befanden,were
Fremde,Strangers
Arbeitgebern,employers
lehnen,lean
ausgetragen,held
Erfurt,Erfurt
Lachen,Laugh
Strand,Beach
mißbraucht,abused
Gründer,founder
Ruhm,fame
extra,extra
Parkett,parquet
abgebrochen,aborted
zuweilen,sometimes
Wolken,Clouds
Spezialisten,Specialists
wählt,selects
Datei,file
Areal,area
Stammdaten,Master data
Hang,slope
gespart,saved
russischer,Russian
Unter anderem,Among other things
größerer,larger
Heroin,heroin
Bestätigung,Confirmation
Ahnung,Idea
Beobachtung,observation
Die Zeit,The time
Mittelfeld,midfield
Trauer,Grief
sonstigen,other
Florida,Florida
töten,kill
Toleranz,tolerance
strategischen,strategic
beurteilt,assessed
Defizite,Deficits
Gedächtnis,memory
Behinderte,disabled
Antonio,Antonio
Teheran,Tehran
Daimler,Daimler
grauen,gray
vollzogen,completed
Tschernobyl,Chernobyl
auf keinen Fall,absolutely not
sechziger Jahren,sixties
Vorstandsvorsitzender,Chairman of the Board
angehoben,raised
Wahrnehmung,perception
Schwestern,Sisters
Weiterbildung,Continuing education
Kategorie,category
gestört,disturbed
berührt,touched
Ortsbeirat,Local council
umsetzen,implement
Menü,menu
gespannt,tense
Unmut,Discontent
Wohnen,Reside
o,O
AFP,AFP
überfallen,attacked
verabschiedete,passed
keine Rede,no question
radikalen,radical
übliche,usual
gestürzt,fallen
Zeitschriften,Magazines
Olympiasieger,Olympic champion
Erneuerung,renewal
Venedig,Venice
Axel,Axel
mittelfristig,medium term
Verordnung,Regulation
moralischen,moral
Bar,Bear
Kloster,monastery
vermißt,missing
Einem,One
Staub,Dust
betreten,enter
S-Bahn,S-Bahn
Istanbul,Istanbul
illegale,illegal
angekündigte,announced
gewährleisten,ensure
Schmerz,pain
Zeitgenossen,Contemporaries
Elend,misery
Erdbeben,earthquake
gewöhnt,used
obersten,top
schlugen,struck
bestens,excellent
basiert,based
Summen,Totals
jeweilige,each
abgelöst,replaced
potentiellen,potential
erhebt,raises
Potsdamer,Potsdamer
erneuten,renewed
decken,cover
verlautete,it was announced
Theaters,Theater
Wissenschaftlern,scientists
Na,N/a
Künstlerin,artist
engagieren,engage
scharfe,sharp
kalten,cold
entzogen,withdrawn
bedeckt,covered
Benzin,petrol
Störungen,Disturbances
Seither,Since then
Joschka Fischer,Joschka Fischer
Diktatur,dictatorship
Kanal,channel
Hansestadt,Hanseatic city
günstige,affordable
getestet,tested
Attentat,assassination
Beck,Beck
Lübeck,Lübeck
Sir,Sir
Pech,Bad luck
verbieten,forbid
Eier,eggs
zeitlich,time
Libanon,Lebanon
angeblichen,alleged
verwaltet,managed
vorsieht,provides
Holocaust,holocaust
Untergang,Downfall
spannend,exciting
umgewandelt,converted
zuwenig,too little
mächtigen,powerful
P.,P.
verwandeln,transform
zukommen,to
Rentenmarkt,bond market
Komponist,composer
Aktivität,activity
Schwerpunkte,Key areas
einbringen,contribute
Zwang,Obligation
unterstellt,assumed
dauerhaft,permanently
Einträge,Entries
sichtlich,visibly
Schmuck,Jewelry
Romane,Novels
Atem,breath
Uraufführung,premiere
Beträge,Amounts
dasselbe,the same
behauptete,claimed
angehört,listened to
BUND,FEDERAL
klingen,sound
Gene,Gene
verheiratet,married
Zaire,Zaire
Ansätze,Approaches
irgend,any
Archiv,Archive
BASF,BASF
Resonanz,resonance
enorme,enormous
Landwirte,farmers
Handwerker,Handyman
Algerien,Algeria
Reiz,appeal
Plattform,platform
Telefonnummer,Telephone number
Einschränkung,restriction
Zagreb,Zagreb
Beweise,Proofs
Erstellung,creation
historisch,historical
BRD,FRG
Burg,castle
Anfragen,Inquiries
Kriegsende,End of the war
Stockholm,Stockholm
Anweisung,Instruction
Kreises,district
verpflichten,commit
Hölle,hell
Betrachter,Viewer
Vermieter,Landlord
Beitritt,accession
Rechtsprechung,Case law
altes,old
Anlauf,start
Reichtum,wealth
Persönlichkeiten,Personalities
reagierten,reacted
Blüm,Blüm
fit,fit
beherrschen,command
Markieren,Mark
ginge,go
verleihen,lend
analysiert,analyzed
Den Haag,The Hague
heiligen,holy
Eingabe,input
enormen,enormous
Einfluss,Influence
Konfrontation,confrontation
Kairo,Cairo
Kämpfen,Battle
tschechischen,Czech
beschäftigte,employed
typische,typical
Zuerst,First
Dritten Welt,Third World
Bedürfnisse,needs
empört,outraged
Befehl,command
Operationen,Operations
Gemüse,Vegetables
Aachen,Aachen
langjährige,long-term
verweigern,refuse
veränderte,changed
zahlreicher,numerous
beendete,ended
Massaker,massacre
Mordes,murder
korrigiert,corrected
eingestuft,classified
Borussia Dortmund,Borussia Dortmund
ausgefallen,failed
Typen,Types
anstelle,instead
CDU/CSU,CDU/CSU
Illusion,illusion
Grunde,Reasons
Landesbank,State Bank
James,James
Organisatoren,organizers
Klärung,Clarification
daheim,home
umzusetzen,to implement
Endlich,Finally
Fach,Academic subject
Landsleute,fellow countrymen
realen,real
Poesie,poetry
Bahnen,Tracks
eingereicht,submitted
wirtschaftlicher,economic
Berger,Berger
stellvertretenden,deputy
Gremien,committees
Konzeption,Concept
Wirtschaftswachstum,Economic growth
Zustände,Conditions
AOL,AOL
Euphorie,euphoria
Libero,Libero
umgeben,surround
langfristige,long-term
staatlicher,state
sexuellen,sexual
Gebäuden,buildings
bunte,colorful
Duell,duel
Fahrgäste,Passengers
Südamerika,South America
Spektrum,spectrum
verschwindet,disappears
half,half
Charles,Charles
olympischen,Olympic
rot,red
Staatsbürgerschaft,citizenship
Einkauf,Shopping
verlegen,embarrassed
Traditionen,Traditions
neunziger Jahre,nineties
Neuregelung,New regulation
verhängt,imposed
gedrückt,pressed
Zusammensetzung,composition
wahrgenommen,perceived
Fuchs,fox
ordentlich,orderly
Marken,Brands
evangelische,Protestant
KG,KG
gedeckt,covered
hierbei,this
überfordert,overwhelmed
antwortet,answers
Einordnung,Classification
Satelliten,satellites
Sektor,sector
Paket,package
Charlotte,Charlotte
günstiger,cheaper
befragt,interviewed
verwickelt,involved
freitags,Fridays
allerlei,all sorts
Verpflichtungen,Obligations
Ministerien,Ministries
geltende,applicable
iranischen,Iranian
Flexibilität,flexibility
problemlos,no problem
vollem,full
Massen,Masses
sicherer,safer
beeindruckt,impressed
widmen,dedicate
liegenden,lying
jährliche,annual
erwischt,caught
entsprechender,corresponding
diversen,various
Straßburg,Strasbourg
drohenden,impending
doppelte,double
genauen,exact
Polizeisprecher,Police spokesperson
Sommerpause,Summer break
Räuber,robber
zwingt,forces
Experimente,Experiments
Major,major
allesamt,all
mutmaßlichen,presumably
Hamburgs,Hamburg's
montags,Mondays
Ernährung,Nutrition
Auftreten,Appear
Streifen,Stripes
Rechnungen,invoices
Bundesstaat,federal state
Marianne,Marianne
Würzburg,Würzburg
Fassade,facade
Kenntnisse,knowledge
gekämpft,fought
schlimmsten,worst
einverstanden,agreed
möge,may
Adressen,Addresses
Beendigung,termination
einheitliche,uniform
Baby,baby
abgesagt,cancelled
Umsatzes,Sales
Daimler-Benz,Daimler-Benz
beliebig,any
Ferien,Holidays
Griechen,Greeks
Flaschen,Bottles
Panzer,tanks
traurig,sad
verdrängt,suppressed
verstoßen,violate
Ämter,Offices
Klinsmann,Klinsmann
Labor,laboratory
Noten,Grades
legendären,legendary
Nachweis,Proof
gewöhnlich,usually
trainiert,trained
Basel,Basel
b,b
betreffenden,The relevant
Materie,matter
Herausgeber,editor
behindert,disabled
Anschläge,attacks
niedrige,low
Polizeiangaben,Police report
Abstieg,descent
Rexrodt,Rexrodt
